"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Min2,Min3
R10,INFSPM CONSTANTINE,X04SANTE,"KINESITHERAPEUTES DE SANTE PUBLIQUE -- pourbacheliers GUELMA",15.82,--,nan
R10,INFSPM CONSTANTINE,X04SANTE,"KINESITHERAPEUTES DE SANTE PUBLIQUE -- pourbacheliers CONSTANTINE",16.4,--,nan
R10,INFSPM CONSTANTINE,X04SANTE,"KINESITHERAPEUTES DE SANTE PUBLIQUE -- pourbacheliers SOUK-AHRAS",15.75,--,nan
R10,INFSPM CONSTANTINE,X04SANTE,"KINESITHERAPEUTES DE SANTE PUBLIQUE -- pourbacheliers MILA",16.94,--,nan
R10,INFSPM CONSTANTINE,X09SANTE,"MANIPULATEURS EN IMAGERIE MEDICALE DE SANTEPUBLIQUE  -- pour bacheliers GUELMA",15.58,--,nan
R10,INFSPM CONSTANTINE,X09SANTE,"MANIPULATEURS EN IMAGERIE MEDICALE DE SANTEPUBLIQUE  -- pour bacheliers CONSTANTINE",15.83,--,nan
R10,INFSPM CONSTANTINE,X09SANTE,"MANIPULATEURS EN IMAGERIE MEDICALE DE SANTEPUBLIQUE  -- pour bacheliers SOUK-AHRAS",15.56,--,nan
R10,INFSPM CONSTANTINE,X09SANTE,"MANIPULATEURS EN IMAGERIE MEDICALE DE SANTEPUBLIQUE  -- pour bacheliers MILA",15.85,--,nan
R10,INFSPM CONSTANTINE,X10SANTE,"LABORANTINS DE SANTE PUBLIQUE -- pour bacheliersGUELMA",15.66,--,nan
R10,INFSPM CONSTANTINE,X10SANTE,"LABORANTINS DE SANTE PUBLIQUE -- pour bacheliersCONSTANTINE",15.93,16.75,nan
R10,INFSPM CONSTANTINE,X10SANTE,"LABORANTINS DE SANTE PUBLIQUE -- pour bacheliersSOUK-AHRAS",15.55,--,nan
R10,INFSPM CONSTANTINE,X10SANTE,LABORANTINS DE SANTE PUBLIQUE -- pour bacheliers MILA,16.08,--,nan
R10,INFSPM CONSTANTINE,X11SANTE,"PREPARATEURS EN PHARMACIE DE SANTE PUBLIQUE --pour bacheliers CONSTANTINE",15.61,--,nan
R10,INFSPM CONSTANTINE,X11SANTE,"PREPARATEURS EN PHARMACIE DE SANTE PUBLIQUE --pour bacheliers OUARGLA",12.4,13.10,nan
R10,INFSPM CONSTANTINE,X11SANTE,"PREPARATEURS EN PHARMACIE DE SANTE PUBLIQUE --pour bacheliers ILLIZI",12.0,--,nan
