"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Min2,Min3
R03,INFSPM ALGER,X05SANTE,"ORTHOPTISTES DE SANTE PUBLIQUE -- pour bacheliersTISSEMSILT",15.65,--,nan
R03,INFSPM ALGER,X05SANTE,"ORTHOPTISTES DE SANTE PUBLIQUE -- pour bacheliers ELOUED",15.02,--,nan
R03,INFSPM ALGER,X05SANTE,"ORTHOPTISTES DE SANTE PUBLIQUE -- pour bacheliersKHENCHLA",16.07,--,nan
R03,INFSPM ALGER,X05SANTE,"ORTHOPTISTES DE SANTE PUBLIQUE -- pour bacheliersSOUK-AHRAS",15.33,--,nan
R03,INFSPM ALGER,X05SANTE,"ORTHOPTISTES DE SANTE PUBLIQUE -- pour bacheliersNAAMA",15.29,--,nan
R03,INFSPM ALGER,X05SANTE,"ORTHOPTISTES DE SANTE PUBLIQUE -- pour bacheliersGHARDAIA",15.62,--,nan
R03,INFSPM ALGER,X05SANTE,"ORTHOPTISTES DE SANTE PUBLIQUE -- pour bacheliersTIMIMOUN",15.14,--,nan
R03,INFSPM ALGER,X05SANTE,"ORTHOPTISTES DE SANTE PUBLIQUE -- pour bacheliers INSALAH",--,13.93,nan
R03,INFSPM ALGER,X05SANTE,"ORTHOPTISTES DE SANTE PUBLIQUE -- pour bacheliersDJANET",12.51,--,nan
R03,INFSPM ALGER,X05SANTE,"ORTHOPTISTES DE SANTE PUBLIQUE -- pour bacheliers ELMGHAIER",13.61,--,nan
R03,INFSPM ALGER,X05SANTE,"ORTHOPTISTES DE SANTE PUBLIQUE -- pour bacheliers ELMENIAA",12.66,--,nan
R03,INFSPM ALGER,X06SANTE,"ERGOTHERAPEUTES DE SANTE PUBLIQUE -- pour bacheliersADRAR",12.67,--,nan
R03,INFSPM ALGER,X06SANTE,"ERGOTHERAPEUTES DE SANTE PUBLIQUE -- pour bacheliersTAMANRASSET",10.02,--,nan
R03,INFSPM ALGER,X06SANTE,"ERGOTHERAPEUTES DE SANTE PUBLIQUE -- pour bacheliersTIZI-OUZOU",13.85,--,nan
