"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Min2,Min3
R17,INFSPM ORAN HAI SALAM,X14SANTE,"ASSISTANTS SOCIAUX DE SANTE PUBLIQUE -- pourbacheliers TLEMCEN",14.04,14.70,--
R17,INFSPM ORAN HAI SALAM,X14SANTE,"ASSISTANTS SOCIAUX DE SANTE PUBLIQUE -- pourbacheliers SIDIBEL-ABBES",13.98,14.71,15.22
R17,INFSPM ORAN HAI SALAM,X14SANTE,"ASSISTANTS SOCIAUX DE SANTE PUBLIQUE -- pourbacheliers MASCARA",14.33,15.27,15.73
R17,INFSPM ORAN HAI SALAM,X14SANTE,"ASSISTANTS SOCIAUX DE SANTE PUBLIQUE -- pourbacheliers ORAN",14.55,15.26,--
R17,INFSPM ORAN HAI SALAM,X14SANTE,"ASSISTANTS SOCIAUX DE SANTE PUBLIQUE -- pourbacheliers AIN-TEMOUCHENT",13.88,14.84,--
R02,INFSPM AIN DEFLA,X01SANTE,"INFIRMIERS DE SANTE PUBLIQUE -- pour bacheliers AIN-DEFLA",15.13,--,nan
R02,INFSPM AIN DEFLA,X09SANTE,"MANIPULATEURS EN IMAGERIE MEDICALE DE SANTEPUBLIQUE  -- pour bacheliers AIN-DEFLA",15.7,--,nan
R02,INFSPM AIN DEFLA,X10SANTE,"LABORANTINS DE SANTE PUBLIQUE -- pour bacheliers AIN-DEFLA",15.81,16.60,nan
R02,INFSPM AIN DEFLA,X13SANTE,"ASSISTANTS MEDICAUX DE SANTE PUBLIQUE -- pourbacheliers BLIDA",14.5,15.27,--
R02,INFSPM AIN DEFLA,X13SANTE,"ASSISTANTS MEDICAUX DE SANTE PUBLIQUE -- pourbacheliers MEDEA",15.82,--,--
R02,INFSPM AIN DEFLA,X13SANTE,"ASSISTANTS MEDICAUX DE SANTE PUBLIQUE -- pourbacheliers TIPAZA",14.15,--,15.50
R02,INFSPM AIN DEFLA,X13SANTE,"ASSISTANTS MEDICAUX DE SANTE PUBLIQUE -- pourbacheliers AIN-DEFLA",15.01,15.72,16.65
R02,INFSPM AIN DEFLA,X14SANTE,"ASSISTANTS SOCIAUX DE SANTE PUBLIQUE -- pourbacheliers TIARET",14.37,15.17,16.07
R02,INFSPM AIN DEFLA,X14SANTE,"ASSISTANTS SOCIAUX DE SANTE PUBLIQUE -- pourbacheliers TISSEMSILT",14.46,15.11,--
