"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Min2,Unnamed: 0,Min3
R27,INFSSF TLEMCEN,W01SANTE,"SAGE FEMME DE SANTE PUBLIQUE  -- pour bacheliersRELIZANE",15.87,--,nan,nan
R27,INFSSF TLEMCEN,W01SANTE,"SAGE FEMME DE SANTE PUBLIQUE  -- pour bacheliersTIMIMOUN",13.20,13.90,nan,nan
R27,INFSSF TLEMCEN,W01SANTE,"SAGE FEMME DE SANTE PUBLIQUE  -- pour bacheliersBORDJ BADJI MOKHTAR",10.09,--,nan,nan
R27,INFSSF TLEMCEN,W01SANTE,"SAGE FEMME DE SANTE PUBLIQUE  -- pour bacheliers BENIABBES",11.61,14.71,nan,nan
R27,INFSSF TLEMCEN,W01SANTE,"SAGE FEMME DE SANTE PUBLIQUE  -- pour bacheliers INSALAH",10.25,10.80,nan,nan
R27,INFSSF TLEMCEN,W01SANTE,"SAGE FEMME DE SANTE PUBLIQUE  -- pour bacheliers INGUEZZAM",--,--,nan,nan
R26,INFSSF TIZI OUZOU,W01SANTE,"SAGE FEMME DE SANTE PUBLIQUE  -- pour bacheliersBEJAIA",14.06,15.59,nan,nan
R26,INFSSF TIZI OUZOU,W01SANTE,SAGE FEMME DE SANTE PUBLIQUE  -- pour bacheliers BLIDA,15.02,--,nan,nan
R26,INFSSF TIZI OUZOU,W01SANTE,"SAGE FEMME DE SANTE PUBLIQUE  -- pour bacheliersBOUIRA",15.11,--,nan,nan
R26,INFSSF TIZI OUZOU,W01SANTE,"SAGE FEMME DE SANTE PUBLIQUE  -- pour bacheliers TIZI-OUZOU",14.81,15.97,nan,nan
R26,INFSSF TIZI OUZOU,W01SANTE,"SAGE FEMME DE SANTE PUBLIQUE  -- pour bacheliersALGER",15.00,15.86,nan,nan
R26,INFSSF TIZI OUZOU,W01SANTE,"SAGE FEMME DE SANTE PUBLIQUE  -- pour bacheliersDJELFA",14.36,15.27,nan,nan
R26,INFSSF TIZI OUZOU,W01SANTE,SAGE FEMME DE SANTE PUBLIQUE  -- pour bacheliers JIJEL,15.18,--,nan,nan
R26,INFSSF TIZI OUZOU,W01SANTE,"SAGE FEMME DE SANTE PUBLIQUE  -- pour bacheliersMEDEA",15.07,15.79,nan,nan
R26,INFSSF TIZI OUZOU,W01SANTE,SAGE FEMME DE SANTE PUBLIQUE  -- pour bacheliers MSILA,15.11,16.36,nan,nan
