"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Min2,Unnamed: 0,Min3
R03,INFSPM ALGER,X04SANTE,"KINESITHERAPEUTE DE SANTE PUBLIQUE -- pour bacheliersTIZI-OUZOU",15.05,--,nan,nan
R03,INFSPM ALGER,X04SANTE,"KINESITHERAPEUTE DE SANTE PUBLIQUE -- pour bacheliersALGER",15.97,16.99,nan,nan
R03,INFSPM ALGER,X04SANTE,"KINESITHERAPEUTE DE SANTE PUBLIQUE -- pour bacheliersMEDEA",15.92,--,nan,nan
R03,INFSPM ALGER,X04SANTE,"KINESITHERAPEUTE DE SANTE PUBLIQUE -- pour bacheliersMSILA",15.80,--,nan,nan
R03,INFSPM ALGER,X04SANTE,"KINESITHERAPEUTE DE SANTE PUBLIQUE -- pour bacheliersBOUMERDES",--,16.98,nan,nan
R03,INFSPM ALGER,X04SANTE,"KINESITHERAPEUTE DE SANTE PUBLIQUE -- pour bacheliersTIPAZA",15.37,--,nan,nan
R03,INFSPM ALGER,X04SANTE,"KINESITHERAPEUTE DE SANTE PUBLIQUE -- pour bacheliersAIN-DEFLA",16.05,--,nan,nan
R03,INFSPM ALGER,X04SANTE,"KINESITHERAPEUTE DE SANTE PUBLIQUE -- pour bacheliersEL MENIAA",15.49,--,nan,nan
R03,INFSPM ALGER,X05SANTE,"ORTHOPTISTE DE SANTE PUBLIQUE -- pour bacheliersADRAR",13.89,--,nan,nan
R03,INFSPM ALGER,X05SANTE,"ORTHOPTISTE DE SANTE PUBLIQUE -- pour bacheliersLAGHOUAT",14.67,--,nan,nan
R03,INFSPM ALGER,X05SANTE,"ORTHOPTISTE DE SANTE PUBLIQUE -- pour bacheliersBATNA",16.87,--,nan,nan
R03,INFSPM ALGER,X05SANTE,"ORTHOPTISTE DE SANTE PUBLIQUE -- pour bacheliersBEJAIA",15.89,--,nan,nan
R03,INFSPM ALGER,X05SANTE,"ORTHOPTISTE DE SANTE PUBLIQUE -- pour bacheliersBISKRA",15.38,--,nan,nan
R03,INFSPM ALGER,X05SANTE,"ORTHOPTISTE DE SANTE PUBLIQUE -- pour bacheliersBECHAR",14.42,--,nan,nan
