"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Min2,Unnamed: 0,Min3
R01,INFSPM ADRAR,X01SANTE,"INFIRMIER DE SANTE PUBLIQUE -- pour bacheliers INGUEZZAM",--,--,nan,nan
R01,INFSPM ADRAR,X09SANTE,"MANIPULATEUR EN IMAGERIE MEDICALE DE SANTEPUBLIQUE  -- pour bacheliers ADRAR",14.04,--,nan,nan
R01,INFSPM ADRAR,X09SANTE,"MANIPULATEUR EN IMAGERIE MEDICALE DE SANTEPUBLIQUE  -- pour bacheliers TAMANRASSET",10.24,--,nan,nan
R01,INFSPM ADRAR,X09SANTE,"MANIPULATEUR EN IMAGERIE MEDICALE DE SANTEPUBLIQUE  -- pour bacheliers BORDJ BADJI MOKHTAR",12.08,--,nan,nan
R01,INFSPM ADRAR,X09SANTE,"MANIPULATEUR EN IMAGERIE MEDICALE DE SANTEPUBLIQUE  -- pour bacheliers IN SALAH",10.41,--,nan,nan
R01,INFSPM ADRAR,X09SANTE,"MANIPULATEUR EN IMAGERIE MEDICALE DE SANTEPUBLIQUE  -- pour bacheliers IN GUEZZAM",--,--,nan,nan
R01,INFSPM ADRAR,X10SANTE,"LABORANTIN DE SANTE PUBLIQUE -- pour bacheliersADRAR",14.86,15.48,nan,nan
R01,INFSPM ADRAR,X10SANTE,"LABORANTIN DE SANTE PUBLIQUE -- pour bacheliersTAMANRASSET",11.42,--,nan,nan
R01,INFSPM ADRAR,X10SANTE,"LABORANTIN DE SANTE PUBLIQUE -- pour bacheliers BORDJBADJI MOKHTAR",10.62,--,nan,nan
R01,INFSPM ADRAR,X10SANTE,"LABORANTIN DE SANTE PUBLIQUE -- pour bacheliers INSALAH",11.74,--,nan,nan
R01,INFSPM ADRAR,X10SANTE,"LABORANTIN DE SANTE PUBLIQUE -- pour bacheliers INGUEZZAM",10.85,--,nan,nan
R04,INFSPM BATNA,X01SANTE,"INFIRMIER DE SANTE PUBLIQUE -- pour bacheliers OUM-EL-BOUAGHI",14.83,--,nan,nan
R04,INFSPM BATNA,X01SANTE,INFIRMIER DE SANTE PUBLIQUE -- pour bacheliers BATNA,15.42,16.57,nan,nan
R04,INFSPM BATNA,X01SANTE,"INFIRMIER DE SANTE PUBLIQUE -- pour bacheliers ELMGHAIER",12.63,13.52,nan,nan
R04,INFSPM BATNA,X09SANTE,"MANIPULATEUR EN IMAGERIE MEDICALE DE SANTEPUBLIQUE  -- pour bacheliers OUM-EL-BOUAGHI",15.32,--,nan,nan
