"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Min2,Unnamed: 0,Min3
R03,INFSPM ALGER,X06SANTE,"ERGOTHERAPEUTE DE SANTE PUBLIQUE -- pour bacheliersBLIDA",14.95,--,nan,nan
R03,INFSPM ALGER,X06SANTE,"ERGOTHERAPEUTE DE SANTE PUBLIQUE -- pour bacheliersTAMANRASSET",13.49,--,nan,nan
R03,INFSPM ALGER,X06SANTE,"ERGOTHERAPEUTE DE SANTE PUBLIQUE -- pour bacheliersTEBESSA",14.87,--,nan,nan
R03,INFSPM ALGER,X06SANTE,"ERGOTHERAPEUTE DE SANTE PUBLIQUE -- pour bacheliersTLEMCEN",15.3,--,nan,nan
R03,INFSPM ALGER,X06SANTE,"ERGOTHERAPEUTE DE SANTE PUBLIQUE -- pour bacheliersTIARET",15.02,--,nan,nan
R03,INFSPM ALGER,X06SANTE,"ERGOTHERAPEUTE DE SANTE PUBLIQUE -- pour bacheliersTIZI-OUZOU",14.42,--,nan,nan
R03,INFSPM ALGER,X06SANTE,"ERGOTHERAPEUTE DE SANTE PUBLIQUE -- pour bacheliersALGER",15.69,--,nan,nan
R03,INFSPM ALGER,X06SANTE,"ERGOTHERAPEUTE DE SANTE PUBLIQUE -- pour bacheliersJIJEL",15.68,--,nan,nan
R03,INFSPM ALGER,X06SANTE,"ERGOTHERAPEUTE DE SANTE PUBLIQUE -- pour bacheliersSETIF",15.65,--,nan,nan
R03,INFSPM ALGER,X06SANTE,"ERGOTHERAPEUTE DE SANTE PUBLIQUE -- pour bacheliersSKIKDA",15.43,--,nan,nan
R03,INFSPM ALGER,X06SANTE,"ERGOTHERAPEUTE DE SANTE PUBLIQUE -- pour bacheliersSIDIBEL-ABBES",14.58,--,nan,nan
R03,INFSPM ALGER,X06SANTE,"ERGOTHERAPEUTE DE SANTE PUBLIQUE -- pour bacheliersANNABA",14.48,--,nan,nan
R03,INFSPM ALGER,X06SANTE,"ERGOTHERAPEUTE DE SANTE PUBLIQUE -- pour bacheliersMOSTAGANEM",14.38,--,nan,nan
R03,INFSPM ALGER,X06SANTE,"ERGOTHERAPEUTE DE SANTE PUBLIQUE -- pour bacheliersMSILA",15.62,--,nan,nan
