"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Min2,Unnamed: 0,Min3
R05,INFSPM BECHAR,X09SANTE,"MANIPULATEUR EN IMAGERIE MEDICALE DE SANTEPUBLIQUE  -- pour bacheliers BENI ABBES",12.58,--,nan,nan
R05,INFSPM BECHAR,X10SANTE,"LABORANTIN DE SANTE PUBLIQUE -- pour bacheliersBECHAR",14.64,--,nan,nan
R05,INFSPM BECHAR,X10SANTE,"LABORANTIN DE SANTE PUBLIQUE -- pour bacheliersTINDOUF",13.41,--,nan,nan
R05,INFSPM BECHAR,X10SANTE,"LABORANTIN DE SANTE PUBLIQUE -- pour bacheliers BENIABBES",12.64,--,nan,nan
R05,INFSPM BECHAR,X13SANTE,"ASSISTANT MEDICAL DE SANTE PUBLIQUE -- pourbacheliers ADRAR",13.25,13.98,nan,nan
R05,INFSPM BECHAR,X13SANTE,"ASSISTANT MEDICAL DE SANTE PUBLIQUE -- pourbacheliers BECHAR",13.05,13.72,nan,nan
R05,INFSPM BECHAR,X13SANTE,"ASSISTANT MEDICAL DE SANTE PUBLIQUE -- pourbacheliers TINDOUF",12.46,12.31,nan,nan
R05,INFSPM BECHAR,X13SANTE,"ASSISTANT MEDICAL DE SANTE PUBLIQUE -- pourbacheliers TIMIMOUN",13.07,13.65,nan,nan
R05,INFSPM BECHAR,X13SANTE,"ASSISTANT MEDICAL DE SANTE PUBLIQUE -- pourbacheliers BORDJ BADJI MOKHTAR",--,--,nan,nan
R05,INFSPM BECHAR,X13SANTE,"ASSISTANT MEDICAL DE SANTE PUBLIQUE -- pourbacheliers BENI ABBES",13.24,13.86,nan,nan
R05,INFSPM BECHAR,X14SANTE,"ASSISTANT SOCIAL DE SANTE PUBLIQUE -- pour bacheliersADRAR",13.12,13.66,nan,nan
R05,INFSPM BECHAR,X14SANTE,"ASSISTANT SOCIAL DE SANTE PUBLIQUE -- pour bacheliersBECHAR",12.89,13.53,nan,nan
R05,INFSPM BECHAR,X14SANTE,"ASSISTANT SOCIAL DE SANTE PUBLIQUE -- pour bacheliersTINDOUF",11.46,11.99,nan,nan
R05,INFSPM BECHAR,X14SANTE,"ASSISTANT SOCIAL DE SANTE PUBLIQUE -- pour bacheliersTIMIMOUN",--,13.48,nan,nan
