"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Min2,Unnamed: 0,Min3
R03,INFSPM ALGER,X08SANTE,"PSYCHOMOTRICIEN DE SNTE PUBLIQUE -- pour bacheliersKHENCHLA",14.87,--,nan,nan
R03,INFSPM ALGER,X08SANTE,"PSYCHOMOTRICIEN DE SNTE PUBLIQUE -- pour bacheliersTIPAZA",15.30,--,nan,nan
R03,INFSPM ALGER,X08SANTE,"PSYCHOMOTRICIEN DE SNTE PUBLIQUE -- pour bacheliersNAAMA",13.99,--,nan,nan
R03,INFSPM ALGER,X08SANTE,"PSYCHOMOTRICIEN DE SNTE PUBLIQUE -- pour bacheliersGHARDAIA",15.69,--,nan,nan
R03,INFSPM ALGER,X08SANTE,"PSYCHOMOTRICIEN DE SNTE PUBLIQUE -- pour bacheliersOULED DJELLAL",13.27,--,nan,nan
R03,INFSPM ALGER,X08SANTE,"PSYCHOMOTRICIEN DE SNTE PUBLIQUE -- pour bacheliersTOUGGOURT",14.08,--,nan,nan
R03,INFSPM ALGER,X08SANTE,"PSYCHOMOTRICIEN DE SNTE PUBLIQUE -- pour bacheliersDJANET",--,--,nan,nan
R03,INFSPM ALGER,X08SANTE,"PSYCHOMOTRICIEN DE SNTE PUBLIQUE -- pour bacheliersEL MGHAIER",13.22,--,nan,nan
R03,INFSPM ALGER,X08SANTE,"PSYCHOMOTRICIEN DE SNTE PUBLIQUE -- pour bacheliersEL MENIAA",11.62,--,nan,nan
R03,INFSPM ALGER,X09SANTE,"MANIPULATEUR EN IMAGERIE MEDICALE DE SANTEPUBLIQUE  -- pour bacheliers TIZI-OUZOU",14.48,15.48,nan,nan
R03,INFSPM ALGER,X09SANTE,"MANIPULATEUR EN IMAGERIE MEDICALE DE SANTEPUBLIQUE  -- pour bacheliers ALGER",15.08,--,nan,nan
R03,INFSPM ALGER,X09SANTE,"MANIPULATEUR EN IMAGERIE MEDICALE DE SANTEPUBLIQUE  -- pour bacheliers BOUMERDES",15.06,15.97,nan,nan
R03,INFSPM ALGER,X10SANTE,"LABORANTIN DE SANTE PUBLIQUE -- pour bacheliers TIZI-OUZOU",14.39,17.31,nan,nan
R03,INFSPM ALGER,X10SANTE,"LABORANTIN DE SANTE PUBLIQUE -- pour bacheliersALGER",15.42,--,nan,nan
