"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Min2,Unnamed: 0,Min3
R17,INFSPM ORAN HAI SALAM,X04SANTE,"KINESITHERAPEUTE DE SANTE PUBLIQUE -- pour bacheliersTLEMCEN",15.55,16.62,nan,nan
R17,INFSPM ORAN HAI SALAM,X04SANTE,"KINESITHERAPEUTE DE SANTE PUBLIQUE -- pour bacheliersMOSTAGANEM",15.59,17.29,nan,nan
R17,INFSPM ORAN HAI SALAM,X04SANTE,"KINESITHERAPEUTE DE SANTE PUBLIQUE -- pour bacheliersORAN",15.69,--,nan,nan
R17,INFSPM ORAN HAI SALAM,X04SANTE,"KINESITHERAPEUTE DE SANTE PUBLIQUE -- pour bacheliersAIN-TEMOUCHENT",16.08,--,nan,nan
R17,INFSPM ORAN HAI SALAM,X09SANTE,"MANIPULATEUR EN IMAGERIE MEDICALE DE SANTEPUBLIQUE  -- pour bacheliers TLEMCEN",15.67,16.78,nan,nan
R17,INFSPM ORAN HAI SALAM,X09SANTE,"MANIPULATEUR EN IMAGERIE MEDICALE DE SANTEPUBLIQUE  -- pour bacheliers ORAN",15.03,15.79,nan,nan
R17,INFSPM ORAN HAI SALAM,X09SANTE,"MANIPULATEUR EN IMAGERIE MEDICALE DE SANTEPUBLIQUE  -- pour bacheliers AIN-TEMOUCHENT",15.29,--,nan,nan
R17,INFSPM ORAN HAI SALAM,X10SANTE,"LABORANTIN DE SANTE PUBLIQUE -- pour bacheliersTLEMCEN",15.43,--,nan,nan
R17,INFSPM ORAN HAI SALAM,X10SANTE,LABORANTIN DE SANTE PUBLIQUE -- pour bacheliers ORAN,15.27,16.46,nan,nan
R17,INFSPM ORAN HAI SALAM,X10SANTE,"LABORANTIN DE SANTE PUBLIQUE -- pour bacheliers AIN-TEMOUCHENT",15.27,--,nan,nan
R17,INFSPM ORAN HAI SALAM,X11SANTE,"PREPARATEUR EN PHARMACIE DE SANTE PUBLIQUE --pour bacheliers CHLEF",14.95,--,nan,nan
R17,INFSPM ORAN HAI SALAM,X11SANTE,"PREPARATEUR EN PHARMACIE DE SANTE PUBLIQUE --pour bacheliers BECHAR",13.6,--,nan,nan
R17,INFSPM ORAN HAI SALAM,X11SANTE,"PREPARATEUR EN PHARMACIE DE SANTE PUBLIQUE --pour bacheliers TLEMCEN",15.17,--,nan,nan
R17,INFSPM ORAN HAI SALAM,X11SANTE,"PREPARATEUR EN PHARMACIE DE SANTE PUBLIQUE --pour bacheliers TIARET",14.94,--,nan,nan
R17,INFSPM ORAN HAI SALAM,X11SANTE,"PREPARATEUR EN PHARMACIE DE SANTE PUBLIQUE --pour bacheliers SAIDA",14.65,--,nan,nan
