"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Min2,Unnamed: 0,Min3
R20,INFSPM SETIF,X04SANTE,"KINESITHERAPEUTE DE SANTE PUBLIQUE -- pour bacheliersTAMANRASSET",13.50,--,nan,nan
R20,INFSPM SETIF,X04SANTE,"KINESITHERAPEUTE DE SANTE PUBLIQUE -- pour bacheliersJIJEL",16.21,--,nan,nan
R20,INFSPM SETIF,X04SANTE,"KINESITHERAPEUTE DE SANTE PUBLIQUE -- pour bacheliersSETIF",16.67,--,nan,nan
R20,INFSPM SETIF,X04SANTE,"KINESITHERAPEUTE DE SANTE PUBLIQUE -- pour bacheliersB.B.ARRERIDJ",16.03,--,nan,nan
R20,INFSPM SETIF,X04SANTE,"KINESITHERAPEUTE DE SANTE PUBLIQUE -- pour bacheliersKHENCHLA",15.70,--,nan,nan
R20,INFSPM SETIF,X04SANTE,"KINESITHERAPEUTE DE SANTE PUBLIQUE -- pour bacheliersOULED DJELLAL",14.58,--,nan,nan
R20,INFSPM SETIF,X04SANTE,"KINESITHERAPEUTE DE SANTE PUBLIQUE -- pour bacheliersIN SALAH",12.47,--,nan,nan
R20,INFSPM SETIF,X04SANTE,"KINESITHERAPEUTE DE SANTE PUBLIQUE -- pour bacheliersIN GUEZZAM",--,--,nan,nan
R20,INFSPM SETIF,X04SANTE,"KINESITHERAPEUTE DE SANTE PUBLIQUE -- pour bacheliersEL MGHAIER",14.89,--,nan,nan
R20,INFSPM SETIF,X09SANTE,"MANIPULATEUR EN IMAGERIE MEDICALE DE SANTEPUBLIQUE  -- pour bacheliers SETIF",15.67,--,nan,nan
R20,INFSPM SETIF,X09SANTE,"MANIPULATEUR EN IMAGERIE MEDICALE DE SANTEPUBLIQUE  -- pour bacheliers B.B.ARRERIDJ",15.22,--,nan,nan
R20,INFSPM SETIF,X10SANTE,LABORANTIN DE SANTE PUBLIQUE -- pour bacheliers SETIF,15.71,--,nan,nan
R20,INFSPM SETIF,X10SANTE,"LABORANTIN DE SANTE PUBLIQUE -- pour bacheliersB.B.ARRERIDJ",15.34,--,nan,nan
R19,INFSPM SAIDA,X01SANTE,INFIRMIER DE SANTE PUBLIQUE -- pour bacheliers SAIDA,14.38,--,nan,nan
R19,INFSPM SAIDA,X01SANTE,"INFIRMIER DE SANTE PUBLIQUE -- pour bacheliers ELBAYADH",13.69,14.41,nan,nan
