"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Min2,Unnamed: 0,Min3
R07,INFSPM BISKRA,X02SANTE,"DIETETICIEN DE SANTE PUBLIQUE -- pour bacheliers OULEDDJELLAL",13.65,--,nan,nan
R07,INFSPM BISKRA,X02SANTE,"DIETETICIEN DE SANTE PUBLIQUE -- pour bacheliersTOUGGOURT",14.18,--,nan,nan
R07,INFSPM BISKRA,X02SANTE,"DIETETICIEN DE SANTE PUBLIQUE -- pour bacheliersDJANET",--,--,nan,nan
R07,INFSPM BISKRA,X02SANTE,"DIETETICIEN DE SANTE PUBLIQUE -- pour bacheliers ELMGHAIER",13.70,--,nan,nan
R07,INFSPM BISKRA,X09SANTE,"MANIPULATEUR EN IMAGERIE MEDICALE DE SANTEPUBLIQUE  -- pour bacheliers BISKRA",15.37,--,nan,nan
R07,INFSPM BISKRA,X09SANTE,"MANIPULATEUR EN IMAGERIE MEDICALE DE SANTEPUBLIQUE  -- pour bacheliers OULED DJELLAL",13.93,14.59,nan,nan
R07,INFSPM BISKRA,X09SANTE,"MANIPULATEUR EN IMAGERIE MEDICALE DE SANTEPUBLIQUE  -- pour bacheliers TOUGGOURT",14.40,--,nan,nan
R07,INFSPM BISKRA,X10SANTE,"LABORANTIN DE SANTE PUBLIQUE -- pour bacheliersBISKRA",15.31,16.89,nan,nan
R07,INFSPM BISKRA,X10SANTE,"LABORANTIN DE SANTE PUBLIQUE -- pour bacheliersOULED DJELLAL",14.54,--,nan,nan
R07,INFSPM BISKRA,X10SANTE,"LABORANTIN DE SANTE PUBLIQUE -- pour bacheliersTOUGGOURT",14.55,--,nan,nan
R07,INFSPM BISKRA,X11SANTE,"PREPARATEUR EN PHARMACIE DE SANTE PUBLIQUE --pour bacheliers BISKRA",15.05,--,nan,nan
R07,INFSPM BISKRA,X11SANTE,"PREPARATEUR EN PHARMACIE DE SANTE PUBLIQUE --pour bacheliers OUARGLA",12.62,13.09,nan,nan
R07,INFSPM BISKRA,X11SANTE,"PREPARATEUR EN PHARMACIE DE SANTE PUBLIQUE --pour bacheliers ILLIZI",13.86,--,nan,nan
R07,INFSPM BISKRA,X11SANTE,"PREPARATEUR EN PHARMACIE DE SANTE PUBLIQUE --pour bacheliers EL OUED",14.70,--,nan,nan
