"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Min2,Unnamed: 0,Min3
R11,INFSPM JIJEL,X11SANTE,"PREPARATEUR EN PHARMACIE DE SANTE PUBLIQUE --pour bacheliers SKIKDA",15.83,--,nan,nan
R11,INFSPM JIJEL,X11SANTE,"PREPARATEUR EN PHARMACIE DE SANTE PUBLIQUE --pour bacheliers ANNABA",14.52,--,nan,nan
R11,INFSPM JIJEL,X11SANTE,"PREPARATEUR EN PHARMACIE DE SANTE PUBLIQUE --pour bacheliers ELTARF",14.98,--,nan,nan
R11,INFSPM JIJEL,X11SANTE,"PREPARATEUR EN PHARMACIE DE SANTE PUBLIQUE --pour bacheliers MILA",15.53,--,nan,nan
R11,INFSPM JIJEL,X14SANTE,"ASSISTANT SOCIAL DE SANTE PUBLIQUE -- pour bacheliersJIJEL",14.07,15.91,nan,nan
R11,INFSPM JIJEL,X14SANTE,"ASSISTANT SOCIAL DE SANTE PUBLIQUE -- pour bacheliersSKIKDA",14.09,14.90,nan,nan
R11,INFSPM JIJEL,X14SANTE,"ASSISTANT SOCIAL DE SANTE PUBLIQUE -- pour bacheliersANNABA",13.45,13.72,nan,nan
R11,INFSPM JIJEL,X14SANTE,"ASSISTANT SOCIAL DE SANTE PUBLIQUE -- pour bacheliersGUELMA",14.86,--,nan,nan
R11,INFSPM JIJEL,X14SANTE,"ASSISTANT SOCIAL DE SANTE PUBLIQUE -- pour bacheliersELTARF",13.86,14.48,nan,nan
R11,INFSPM JIJEL,X14SANTE,"ASSISTANT SOCIAL DE SANTE PUBLIQUE -- pour bacheliersMILA",15.18,--,nan,nan
R20,INFSPM SETIF,X01SANTE,INFIRMIER DE SANTE PUBLIQUE -- pour bacheliers SETIF,15.44,--,nan,nan
R20,INFSPM SETIF,X01SANTE,"INFIRMIER DE SANTE PUBLIQUE -- pour bacheliersB.B.ARRERIDJ",14.72,--,nan,nan
R20,INFSPM SETIF,X04SANTE,"KINESITHERAPEUTE DE SANTE PUBLIQUE -- pour bacheliersBATNA",15.88,--,nan,nan
R20,INFSPM SETIF,X04SANTE,"KINESITHERAPEUTE DE SANTE PUBLIQUE -- pour bacheliersBEJAIA",15.12,--,nan,nan
R20,INFSPM SETIF,X04SANTE,"KINESITHERAPEUTE DE SANTE PUBLIQUE -- pour bacheliersBISKRA",15.73,--,nan,nan
