"CodeEtb",Etablissement,Code Fil,Filiere,Min1,Min2,Unnamed: 0,Min3
R18,INFSPM OUARGLA,X12SANTE,HYGIENISTE DE SANTE PUBLIQUE -- pour bacheliers DJANET,--,--,nan,nan
R18,INFSPM OUARGLA,X12SANTE,"HYGIENISTE DE SANTE PUBLIQUE -- pour bacheliers ELMENIAA",11.90,--,nan,nan
R18,INFSPM OUARGLA,X14SANTE,"ASSISTANT SOCIAL DE SANTE PUBLIQUE -- pour bacheliersBISKRA",13.39,14.46,nan,nan
R18,INFSPM OUARGLA,X14SANTE,"ASSISTANT SOCIAL DE SANTE PUBLIQUE -- pour bacheliersOUARGLA",12.44,12.74,nan,nan
R18,INFSPM OUARGLA,X14SANTE,"ASSISTANT SOCIAL DE SANTE PUBLIQUE -- pour bacheliersILLIZI",--,12.14,nan,nan
R18,INFSPM OUARGLA,X14SANTE,"ASSISTANT SOCIAL DE SANTE PUBLIQUE -- pour bacheliersEL OUED",--,13.37,nan,nan
R18,INFSPM OUARGLA,X14SANTE,"ASSISTANT SOCIAL DE SANTE PUBLIQUE -- pour bacheliersOULED DJELLAL",13.56,14.25,nan,nan
R18,INFSPM OUARGLA,X14SANTE,"ASSISTANT SOCIAL DE SANTE PUBLIQUE -- pour bacheliersTOUGGOURT",--,13.22,nan,nan
R18,INFSPM OUARGLA,X14SANTE,"ASSISTANT SOCIAL DE SANTE PUBLIQUE -- pour bacheliersDJANET",10.70,10.31,nan,nan
R16,INFSPM ORAN GUEABI DJEDIA,X01SANTE,"INFIRMIER DE SANTE PUBLIQUE -- pour bacheliersTLEMCEN",15.07,15.84,nan,nan
R16,INFSPM ORAN GUEABI DJEDIA,X01SANTE,INFIRMIER DE SANTE PUBLIQUE -- pour bacheliers ORAN,14.60,15.46,nan,nan
R17,INFSPM ORAN HAI SALAM,X02SANTE,DIETETICIEN DE SANTE PUBLIQUE -- pour bacheliers ADRAR,13.42,--,nan,nan
R17,INFSPM ORAN HAI SALAM,X02SANTE,DIETETICIEN DE SANTE PUBLIQUE -- pour bacheliers CHLEF,15.31,--,nan,nan
R17,INFSPM ORAN HAI SALAM,X02SANTE,"DIETETICIEN DE SANTE PUBLIQUE -- pour bacheliersBECHAR",13.87,--,nan,nan
R17,INFSPM ORAN HAI SALAM,X02SANTE,"DIETETICIEN DE SANTE PUBLIQUE -- pour bacheliersTLEMCEN",15.42,--,nan,nan
R17,INFSPM ORAN HAI SALAM,X02SANTE,DIETETICIEN DE SANTE PUBLIQUE -- pour bacheliers TIARET,15.45,--,nan,nan
R17,INFSPM ORAN HAI SALAM,X02SANTE,DIETETICIEN DE SANTE PUBLIQUE -- pour bacheliers SAIDA,15.49,--,nan,nan
